temperature,pressure
-60,0.00108
-59,0.00124
-58,0.00141
-57,0.00161
-56,0.00184
-55,0.00209
-54,0.00238
-53,0.00271
-52,0.00307
-51,0.00348
-50,0.00394
-49,0.00445
-48,0.00503
-47,0.00568
-46,0.0064
-45,0.00721
-44,0.00811
-43,0.00911
-42,0.01022
-41,0.01147
-40,0.01285
-39,0.01438
-38,0.01608
-37,0.01796
-36,0.02004
-35,0.02235
-34,0.0249
-33,0.02771
-32,0.03082
-31,0.03424
-30,0.03802
-29,0.04217
-28,0.04673
-27,0.05174
-26,0.05725
-25,0.06329
-24,0.06991
-23,0.07716
-22,0.0851
-21,0.09378
-20,0.10326
-19,0.11362
-18,0.12492
-17,0.13725
-16,0.15068
-15,0.1653
-14,0.18122
-13,0.19852
-12,0.21732
-11,0.23774
-10,0.2599
-9,0.28393
-8,0.30998
-7,0.33819
-6,0.36874
-5,0.40176
-4,0.43747
-3,0.47606
-2,0.51772
-1,0.56267
0,0.61115
1,0.6571
2,0.706
3,0.758
4,0.8135
5,0.8725
6,0.9353
7,1.002
8,1.0728
9,1.1481
10,1.228
11,1.3127
12,1.4026
13,1.4978
14,1.5987
15,1.7055
16,1.8184
17,1.938
18,2.0643
19,2.1978
20,2.3388
21,2.4877
22,2.6448
23,2.8104
24,2.9851
25,3.1692
26,3.3631
27,3.5673
28,3.7822
29,4.0083
30,4.246
31,4.4959
32,4.7585
33,5.0343
34,5.3239
35,5.6278
36,5.9466
37,6.281
38,6.6315
39,6.9987
40,7.3835
41,7.7863
42,8.208
43,8.6492
44,9.1107
45,9.5932
46,10.0976
47,10.6246
48,11.1751
49,11.75
50,12.3499
51,12.9759
52,13.629
53,14.31
54,15.02
55,15.7597
56,16.5304
57,17.3331
58,18.169
59,19.0387
60,19.944
61,20.885
62,21.864
63,22.882
64,23.94
65,25.04
66,26.18
67,27.366
68,28.596
69,29.873
70,31.198
71,32.572
72,33.997
73,35.475
74,37.006
75,38.592
76,40.236
77,41.938
78,43.7
79,45.524
80,47.412
81,49.364
82,51.384
83,53.473
84,55.633
85,57.865
86,60.171
87,62.554
88,65.015
89,67.556
90,70.18
91,72.888
92,75.683
93,78.566
94,81.541
95,84.608
96,87.77
97,91.03
98,94.39
99,97.852
100,101.419
101,105.092
102,108.875
103,112.77
104,116.779
105,120.906
106,125.152
107,129.52
108,134.012
109,138.633
110,143.384
111,148.267
112,153.287
113,158.445
114,163.745
115,169.19
116,174.782
117,180.525
118,186.42
119,192.473
120,198.685
122,211.601
124,225.194
126,239.49
128,254.515
130,270.298
132,286.866
134,304.247
136,322.47
138,341.566
140,361.565
142,382.497
144,404.394
146,427.288
148,451.211
150,476.198
152,502.281
154,529.495
156,557.875
158,587.456
160,618.275
