gamma,m
0,38.0868
0.1,36.5581
0.2,35.1223
0.3,33.7726
0.4,32.5026
0.5,31.3064
0.6,30.1786
0.7,29.1144
0.8,28.1091
0.9,27.1588
1,26.2595
1.1,25.4079
1.2,24.6006
1.3,23.8349
1.4,23.1078
1.5,22.417
1.6,21.7601
1.7,21.1349
1.8,20.5395
1.9,19.972
2,19.4308
2.1,18.9143
2.2,18.4209
2.3,17.9493
2.4,17.4983
2.5,17.0667
2.6,16.6534
2.7,16.2573
2.8,15.8775
2.9,15.5131
3,15.1633
3.1,14.8273
3.2,14.5043
3.3,14.1937
3.4,13.8949
3.5,13.6072
3.6,13.3301
3.7,13.063
3.8,12.8056
3.9,12.5572
4,12.3174
4.1,12.0859
4.2,11.8623
4.3,11.6462
4.4,11.4372
4.5,11.235
4.6,11.0394
4.7,10.85
4.8,10.6665
4.9,10.4887
5,10.3164
5.1,10.1493
5.2,9.9872
5.3,9.8299
5.4,9.6772
5.5,9.5289
5.6,9.3848
5.7,9.2448
5.8,9.1087
5.9,8.9763
6,8.8475
6.1,8.7222
6.2,8.6002
6.3,8.4815
6.4,8.3658
6.5,8.2531
6.6,8.1433
6.7,8.0363
6.8,7.9319
6.9,7.83
7,7.7307
7.1,7.6338
7.2,7.5392
7.3,7.4468
7.4,7.3566
7.5,7.2684
7.6,7.1823
7.7,7.0982
7.8,7.0159
7.9,6.9355
8,6.8568
8.1,6.7799
8.2,6.7046
8.3,6.631
8.4,6.5589
8.5,6.4883
8.6,6.4192
8.7,6.3515
8.8,6.2852
8.9,6.2202
9,6.1565
9.1,6.0942
9.2,6.033
9.3,5.973
9.4,5.9142
9.5,5.8565
9.6,5.8
9.7,5.7445
9.8,5.69
9.9,5.6365
10,5.5841
10.1,5.5325
10.2,5.482
10.3,5.4323
10.4,5.3835
10.5,5.3356
10.6,5.2885
10.7,5.2422
10.8,5.1968
10.9,5.1521
11,5.1081
11.1,5.0649
11.2,5.0225
11.3,4.9807
11.4,4.9396
11.5,4.8992
11.6,4.8595
11.7,4.8204
11.8,4.7819
11.9,4.744
12,4.7067
12.1,4.67
12.2,4.6339
12.3,4.5984
12.4,4.5633
12.5,4.5288
12.6,4.4949
12.7,4.4614
12.8,4.4285
12.9,4.396
13,4.364
13.1,4.3325
13.2,4.3014
13.3,4.2708
13.4,4.2406
13.5,4.2108
13.6,4.1815
13.7,4.1526
13.8,4.1241
13.9,4.0959
14,4.0682
14.1,4.0408
14.2,4.0138
14.3,3.9872
14.4,3.961
14.5,3.935
14.6,3.9095
14.7,3.8842
14.8,3.8593
14.9,3.8347
15,3.8105
15.1,3.7865
15.2,3.7629
15.3,3.7395
15.4,3.7165
15.5,3.6937
15.6,3.6713
15.7,3.6491
15.8,3.6271
15.9,3.6055
16,3.5841
16.1,3.563
16.2,3.5421
16.3,3.5215
16.4,3.5011
16.5,3.481
16.6,3.4611
16.7,3.4414
16.8,3.422
16.9,3.4028
17,3.3838
17.1,3.365
17.2,3.3465
17.3,3.3281
17.4,3.31
17.5,3.2921
17.6,3.2743
17.7,3.2568
17.8,3.2395
17.9,3.2223
18,3.2054
18.1,3.1886
18.2,3.172
18.3,3.1556
18.4,3.1394
18.5,3.1233
18.6,3.1074
18.7,3.0917
18.8,3.0762
18.9,3.0608
19,3.0455
19.1,3.0305
19.2,3.0156
19.3,3.0008
19.4,2.9862
19.5,2.9717
19.6,2.9574
19.7,2.9432
19.8,2.9292
19.9,2.9153
20,2.9016
20.2,2.8745
20.4,2.8479
20.6,2.8219
20.8,2.7964
21,2.7713
21.2,2.7467
21.4,2.7226
21.6,2.699
21.8,2.6757
22,2.6529
22.2,2.6305
22.4,2.6086
22.6,2.587
22.8,2.5658
23,2.5449
23.2,2.5245
23.4,2.5043
23.6,2.4846
23.8,2.4651
24,2.446
24.2,2.4272
24.4,2.4088
24.6,2.3906
24.8,2.3727
25,2.3552
25.2,2.3379
25.4,2.3209
25.6,2.3041
25.8,2.2876
26,2.2714
26.2,2.2555
26.4,2.2398
26.6,2.2243
26.8,2.2091
27,2.1941
27.2,2.1793
27.4,2.1647
27.6,2.1504
27.8,2.1363
28,2.1224
28.2,2.1087
28.4,2.0952
28.6,2.0819
28.8,2.0688
29,2.0558
29.2,2.0431
29.4,2.0305
29.6,2.0181
29.8,2.0059
30,1.9939
30.5,1.9645
31,1.9361
31.5,1.9087
32,1.8821
32.5,1.8565
33,1.8316
33.5,1.8076
34,1.7843
34.5,1.7617
35,1.7398
35.5,1.7186
36,1.698
36.5,1.678
37,1.6586
37.5,1.6398
38,1.6215
38.5,1.6038
39,1.5865
39.5,1.5698
40,1.5535
40.5,1.5376
41,1.5222
41.5,1.5072
42,1.4926
42.5,1.4784
43,1.4645
43.5,1.4511
44,1.438
44.5,1.4252
45,1.4128
45.5,1.4006
46,1.3888
46.5,1.3773
47,1.3661
47.5,1.3552
48,1.3445
48.5,1.3341
49,1.324
49.5,1.3141
50,1.3045
50.5,1.2951
51,1.2859
51.5,1.2769
52,1.2682
52.5,1.2597
53,1.2514
53.5,1.2433
54,1.2354
54.5,1.2277
55,1.2202
56,1.2057
57,1.1918
58,1.1787
59,1.1662
60,1.1543
61,1.143
62,1.1322
63,1.122
64,1.1123
65,1.1031
66,1.0944
67,1.0862
68,1.0784
69,1.071
70,1.064
71,1.0575
72,1.0513
73,1.0456
74,1.0402
75,1.0352
76,1.0305
77,1.0262
78,1.0223
79,1.0187
80,1.0154
81,1.0124
82,1.0098
83,1.0075
84,1.0055
85,1.0038
86,1.0024
87,1.0014
88,1.0006
89,1.0002
90,1
